 ,Player,Team,Elig. Pos.,"Pos.
Rank",ADP,,,
1,Shohei Ohtani,LAD,SP/DH,SP1,2.0,,,
2,Aaron Judge,NYY,OF,OF1,2.7,,,
3,Bobby Witt Jr.,KC,SS,SS1,4.5,,,
4,José Ramírez,CLE,3B,3B1,5.5,,,
5,Tarik Skubal,DET,SP,SP2,6.5,,,
6,Kyle Tucker,CHC,OF,OF2,7.8,,,
7,Juan Soto,NYM,OF,OF3,8.5,,,
8,Mookie Betts,LAD,SS,SS2,9.8,,,
9,Vladimir Guerrero Jr.,TOR,1B,1B1,12.2,,,
10,Manny Machado,SD,3B,3B2,13.2,,,
11,Paul Skenes,PIT,SP,SP3,15.4,,,
12,Francisco Lindor,NYM,SS,SS3,15.5,,,
13,Matt Olson,ATL,1B,1B2,15.7,,,
14,Freddie Freeman,LAD,1B,1B3,16.3,,,
15,Fernando Tatis Jr.,SD,OF,OF4,16.9,,,
16,Corbin Carroll,ARI,OF,OF5,17.4,,,
17,Zack Wheeler,PHI,SP,SP4,18.2,,,
18,Garrett Crochet,BOS,SP,SP5,20.5,,,
19,William Contreras,MIL,C,C1,21.7,,,
20,Pete Alonso,NYM,1B,1B4,24.6,,,
21,Ronald Acuña Jr.,ATL,OF,OF6,25.5,,,
22,Ketel Marte,ARI,2B,2B1,25.9,,,
23,Yordan Alvarez,HOU,OF,OF7,30.3,,,
24,Mason Miller,OAK,RP,RP1,31.0,,,
25,Cole Ragans,KC,SP,SP6,32.9,,,
26,Kyle Schwarber,PHI,DH,DH1,33.5,,,
27,Elly De La Cruz,CIN,SS,SS4,33.6,,,
28,Cal Raleigh,SEA,C,C2,34.0,,,
29,Dylan Cease,SD,SP,SP7,34.5,,,
30,Jackson Merrill,SD,OF,OF8,34.8,,,
31,Teoscar Hernández,LAD,OF,OF9,35.8,,,
32,Bryce Harper,PHI,1B,1B5,35.9,,,
33,Adley Rutschman,BAL,C,C3,36.3,,,
34,Gunnar Henderson,BAL,SS,SS5,36.7,,,
35,Trea Turner,PHI,SS,SS6,37.0,,,
36,Logan Gilbert,SEA,SP,SP8,41.1,,,
37,Jackson Chourio,MIL,OF,OF10,42.1,,,
38,Corey Seager,TEX,SS,SS7,43.1,,,
39,Jose Altuve,HOU,2B/OF,2B2,45.2,,,
40,Julio Rodríguez,SEA,OF,OF11,45.4,,,
41,Jarren Duran,BOS,OF,OF12,45.8,,,
42,Ozzie Albies,ATL,2B,2B3,46.4,,,
43,Framber Valdez,HOU,SP,SP9,48.6,,,
44,Chris Sale,ATL,SP,SP10,50.7,,,
45,Yainer Diaz,HOU,C,C4,52.8,,,
46,Logan Webb,SF,SP,SP11,58.3,,,
47,Devin Williams,NYY,RP,RP2,61.0,,,
48,Emmanuel Clase,CLE,RP,RP3,61.1,,,
49,Yoshinobu Yamamoto,LAD,SP,SP12,63.2,,,
50,Josh Naylor,SEA,1B,1B6,63.6,,,
51,Max Fried,NYY,SP,SP13,63.9,,,
52,Austin Riley,ATL,3B,3B3,64.4,,,
53,Michael Harris II,ATL,OF,OF13,66.0,,,
54,Brent Rooker,OAK,OF,OF14,67.6,,,
55,Anthony Santander,TOR,OF,OF15,69.3,,,
56,Alex Bregman,BOS,3B,3B4,69.6,,,
57,Corbin Burnes,ARI,SP,SP14,73.1,,,
58,Josh Hader,HOU,RP,RP4,73.4,,,
59,Ian Happ,CHC,OF,OF16,75.9,,,
60,Will Smith,LAD,C,C5,76.3,,,
61,Aaron Nola,PHI,SP,SP15,78.5,,,
62,Marcell Ozuna,ATL,DH,DH2,78.7,,,
63,Joe Ryan,MIN,SP,SP16,79.0,,,
64,Luis Castillo,SEA,SP,SP17,81.3,,,
65,Michael King,SD,SP,SP18,82.2,,,
66,Edwin Díaz,NYM,RP,RP5,86.6,,,
67,Christian Walker,HOU,1B,1B7,89.0,,,
68,Rafael Devers,SF,1B,1B8,90.0,,,
69,Lawrence Butler,OAK,OF,OF17,90.1,,,
70,Ryan Walker,SF,RP,RP6,90.4,,,
71,Sonny Gray,STL,SP,SP19,91.8,,,
72,Jazz Chisholm Jr.,NYY,2B/3B,2B4,92.2,,,
73,Nick Castellanos,PHI,OF,OF18,94.4,,,
74,Marcus Semien,TEX,2B,2B5,95.8,,,
75,Ryan Helsley,STL,RP,RP7,96.7,,,
76,Raisel Iglesias,ATL,RP,RP8,98.4,,,
77,Steven Kwan,CLE,OF,OF19,100.9,,,
78,Luis Arraez,SD,1B,1B9,102.1,,,
79,Bryce Miller,SEA,SP,SP20,109.7,,,
80,Jhoan Duran,MIN,RP,RP9,117.9,,,
81,Freddy Peralta,MIL,SP,SP21,119.0,,,
82,Spencer Strider,ATL,SP,SP22,119.1,,,
83,Cristopher Sánchez,PHI,SP,SP23,119.9,,,
84,Shota Imanaga,CHC,SP,SP24,120.0,,,
85,Oneil Cruz,PIT,OF,OF20,120.2,,,
86,Hunter Greene,CIN,SP,SP25,120.3,,,
87,Cody Bellinger,NYY,OF,OF21,121.4,,,
88,Hunter Brown,HOU,SP,SP26,123.6,,,
89,Shea Langeliers,OAK,C,C6,124.7,,,
90,Brenton Doyle,COL,OF,OF22,125.2,,,
91,Gleyber Torres,DET,2B,2B6,125.3,,,
92,Bailey Ober,MIN,SP,SP27,126.6,,,
93,Tanner Bibee,CLE,SP,SP28,128.4,,,
94,Eugenio Suárez,SEA,3B,3B5,132.9,,,
95,Nolan Arenado,STL,3B,3B6,132.9,,,
96,Pablo López,MIN,SP,SP29,134.1,,,
97,Salvador Perez,KC,C/1B,C7,136.5,,,
98,Taylor Ward,LAA,OF,OF23,137.9,,,
99,Andrés Muñoz,SEA,RP,RP10,138.5,,,
100,Willson Contreras,STL,1B,1B10,138.9,,,
101,Félix Bautista,BAL,RP,RP11,140.1,,,
102,Wyatt Langford,TEX,OF,OF24,141.4,,,
103,Isaac Paredes,HOU,3B,3B7,143.1,,,
104,Kevin Gausman,TOR,SP,SP30,145.9,,,
105,Zac Gallen,ARI,SP,SP31,146.0,,,
106,Aroldis Chapman,BOS,RP,RP12,146.4,,,
107,Brendan Donovan,STL,2B,2B7,147.2,,,
108,Matt McLain,CIN,2B,2B8,147.3,,,
109,Jack Flaherty,DET,SP,SP32,149.0,,,
110,Adolis García,TEX,OF,OF25,149.1,,,
111,Robert Suarez,SD,RP,RP13,149.9,,,
112,Willy Adames,SF,SS,SS8,150.6,,,
113,Jacob deGrom,TEX,SP,SP33,150.9,,,
114,Paul Goldschmidt,NYY,1B,1B11,153.6,,,
115,Spencer Schwellenbach,ATL,SP,SP34,153.6,,,
116,James Wood,WSH,OF,OF26,153.6,,,
117,Bryan Woo,SEA,SP,SP35,153.7,,,
118,Hunter Goodman,COL,C,C8,153.9,,,
119,Nick Pivetta,SD,SP,SP36,155.6,,,
120,Kerry Carpenter,DET,OF,OF27,155.9,,,
121,Jeremy Peña,HOU,SS,SS9,156.8,,,
122,Blake Snell,LAD,SP,SP37,157.1,,,
123,Kodai Senga,NYM,SP,SP38,159.5,,,
124,Tanner Scott,LAD,RP,RP14,161.5,,,
125,Jordan Westburg,BAL,3B,3B8,162.0,,,
126,Bryan Reynolds,PIT,OF,OF28,162.3,,,
127,Alec Bohm,PHI,3B,3B9,162.4,,,
128,Vinnie Pasquantino,KC,1B,1B12,164.6,,,
129,Logan O'Hoppe,LAA,C,C9,165.3,,,
130,MacKenzie Gore,WSH,SP,SP39,165.3,,,
131,Randy Arozarena,SEA,OF,OF29,166.3,,,
132,Dansby Swanson,CHC,SS,SS10,168.7,,,
133,Riley Greene,DET,OF,OF30,169.3,,,
134,Nico Hoerner,CHC,2B,2B9,169.9,,,
135,Tommy Edman,LAD,2B/OF,2B10,170.5,,,
136,Seiya Suzuki,CHC,OF,OF31,171.7,,,
137,Jake Burger,TEX,1B,1B13,172.7,,,
138,Brandon Pfaadt,ARI,SP,SP40,172.9,,,
139,Chris Bassitt,TOR,SP,SP41,174.1,,,
140,CJ Abrams,WSH,SS,SS11,174.8,,,
141,George Kirby,SEA,SP,SP42,177.4,,,
142,Carlos Rodón,NYY,SP,SP43,178.5,,,
143,José Alvarado,PHI,RP,RP15,179.6,,,
144,Ezequiel Tovar,COL,SS,SS12,179.8,,,
145,Pete Crow-Armstrong,CHC,OF,OF32,180.2,,,
146,Mitch Keller,PIT,SP,SP44,181.0,,,
147,José Berríos,TOR,SP,SP45,181.5,,,
148,Matt Chapman,SF,3B,3B10,184.7,,,
149,Zach Neto,LAA,SS,SS13,184.8,,,
150,Xander Bogaerts,SD,SS,SS14,184.9,,,
151,Christian Yelich,MIL,DH,DH3,184.9,,,
152,Yandy Díaz,TB,1B,1B14,186.6,,,
153,Tanner Houck,BOS,SP,SP46,187.0,,,
154,Kris Bubic,KC,SP,SP47,187.7,,,
155,Anthony Volpe,NYY,SS,SS15,189.6,,,
156,Ben Brown,CHC,SP/RP,SP48,190.6,,,
157,Tyler Stephenson,CIN,C,C10,190.9,,,
158,Nathan Eovaldi,TEX,SP,SP49,191.3,,,
159,Lourdes Gurriel Jr.,ARI,OF,OF33,192.1,,,
160,Yusei Kikuchi,LAA,SP,SP50,193.0,,,
161,Bryson Stott,PHI,2B,2B11,194.2,,,
162,Griffin Jax,TB,RP,RP16,195.0,,,
163,Spencer Steer,CIN,1B,1B15,195.2,,,
164,Justin Martinez,ARI,RP,RP17,195.3,,,
165,Jeff Hoffman,TOR,RP,RP18,196.2,,,
166,George Springer,TOR,OF,OF34,199.3,,,
167,Maikel Garcia,KC,3B,3B11,200.3,,,
168,Kristian Campbell,BOS,2B,2B12,201.6,,,
169,Shane Baz,TB,SP,SP51,202.4,,,
170,Ronel Blanco,HOU,SP,SP52,202.8,,,
171,Daulton Varsho,TOR,OF,OF35,203.2,,,
172,Triston Casas,BOS,1B,1B16,203.8,,,
173,Junior Caminero,TB,3B,3B12,205.2,,,
174,Jonathan India,KC,2B/3B/OF,2B13,205.6,,,
175,Royce Lewis,MIN,3B,3B13,208.2,,,
176,Mike Trout,LAA,OF,OF36,210.2,,,
177,Seth Lugo,KC,SP,SP53,210.9,,,
178,Keibert Ruiz,WSH,C,C11,212.0,,,
179,Mark Vientos,NYM,3B,3B14,212.1,,,
180,Tyler Glasnow,LAD,SP,SP54,215.7,,,
181,JJ Bleday,OAK,OF,OF37,216.6,,,
182,Alec Burleson,STL,1B/OF,1B17,218.6,,,
183,Bo Bichette,TOR,SS,SS16,221.6,,,
184,Francisco Alvarez,NYM,C,C12,224.2,,,
185,Brandon Nimmo,NYM,OF,OF38,224.6,,,
186,Andrew Vaughn,CWS,1B,1B18,227.3,,,
187,Tyler Soderstrom,OAK,1B/OF,1B19,227.4,,,
188,Brice Turang,MIL,2B,2B14,229.3,,,
189,Nick Kurtz,OAK,1B,1B20,230.2,,,
190,Brady Singer,CIN,SP,SP55,231.7,,,
191,Geraldo Perdomo,ARI,SS,SS17,232.5,,,
192,Brandon Woodruff,MIL,SP,SP56,233.5,,,
193,Andrés Giménez,TOR,2B,2B15,235.0,,,
194,Willi Castro,MIN,2B/3B/OF,2B16,235.4,,,
195,Roki Sasaki,LAD,SP,SP57,236.5,,,
196,Trevor Megill,MIL,RP,RP19,238.8,,,
197,Ben Rice,NYY,C/1B,C13,239.8,,,
198,Jesús Luzardo,PHI,SP,SP58,240.1,,,
199,Bryan Abreu,HOU,RP,RP20,241.8,,,
200,Luis García Jr.,WSH,2B,2B17,243.4,,,
201,J.T. Realmuto,PHI,C,C14,243.6,,,
202,Matthew Boyd,CHC,SP,SP59,243.7,,,
203,Jung Hoo Lee,SF,OF,OF39,245.0,,,
204,Sean Murphy,ATL,C,C15,246.3,,,
205,Luke Weaver,NYY,RP,RP21,246.8,,,
206,Robbie Ray,SF,SP,SP60,247.6,,,
207,Carlos Correa,MIN,3B/SS,3B15,248.1,,,
208,Bowden Francis,TOR,SP,SP61,249.3,,,
209,Kyle Finnegan,DET,RP,RP22,249.5,,,
210,Jacob Misiorowski,MIL,SP,SP62,249.8,,,
211,Ceddanne Rafaela,BOS,2B/OF,2B18,249.9,,,
212,Byron Buxton,MIN,OF,OF40,250.3,,,
213,Trevor Rogers,BAL,SP,SP63,250.3,,,
214,Ranger Suárez,PHI,SP,SP64,250.4,,,
215,Alejandro Kirk,TOR,C,C16,250.5,,,
216,Kenley Jansen,LAA,RP,RP23,251.0,,,
217,Andrew Abbott,CIN,SP,SP65,251.3,,,
218,Jackson Holliday,BAL,2B,2B19,251.5,,,
219,Michael Busch,CHC,1B,1B21,251.6,,,
220,Giancarlo Stanton,NYY,OF,OF41,251.6,,,
221,Merrill Kelly,TEX,SP,SP66,251.6,,,
222,Spencer Torkelson,DET,1B,1B22,252.0,,,
223,Taj Bradley,TB,SP,SP67,252.5,,,
224,Enrique Hernández,LAD,1B/3B/OF,1B23,252.7,,,
225,Jurickson Profar,ATL,OF,OF42,252.8,,,
226,Austin Wells,NYY,C,C17,252.8,,,
227,Trevor Story,BOS,SS,SS18,252.9,,,
228,Jason Adam,SD,RP,RP24,253.0,,,
229,Xavier Edwards,MIA,2B/SS,2B20,253.3,,,
230,Roman Anthony,BOS,OF,OF43,253.3,,,
231,Luis Robert Jr.,CWS,OF,OF44,253.5,,,
232,Colt Keith,DET,2B/3B,2B21,254.3,,,
233,Josh Lowe,TB,OF,OF45,254.4,,,
234,Sandy Alcantara,MIA,SP,SP68,254.4,,,
235,Hurston Waldrep,ATL,SP,SP69,254.6,,,
236,Jasson Domínguez,NYY,OF,OF46,254.7,,,
237,Pete Fairbanks,TB,RP,RP25,254.8,,,
238,Luis Rengifo,LAA,2B/3B,2B22,254.9,,,
239,Justin Steele,CHC,SP,SP70,255.2,,,
240,Yu Darvish,SD,SP,SP71,255.3,,,
241,Lars Nootbaar,STL,OF,OF47,255.3,,,
242,Max Scherzer,TOR,SP,SP72,255.3,,,
243,Nathaniel Lowe,BOS,1B,1B24,255.4,,,
244,Clayton Kershaw,LAD,SP,SP73,255.4,,,
245,Jacob Wilson,OAK,SS,SS19,255.4,,,
246,Cedric Mullins,BAL,OF,OF48,255.5,,,
247,Carlos Estévez,KC,RP,RP26,255.6,,,
248,Clay Holmes,NYM,SP,SP74,255.7,,,
249,Christopher Morel,TB,OF,OF49,255.8,,,
250,Michael Wacha,KC,SP,SP75,255.8,,,
251,David Bednar,PIT,RP,RP27,255.8,,,
252,Colton Cowser,BAL,OF,OF50,255.9,,,
253,Drake Baldwin,ATL,C,C18,256.0,,,
254,Max Muncy,OAK,3B,3B16,256.0,,,
255,Shane Bieber,TOR,SP,SP76,256.2,,,
256,Jake Bauers,MIL,1B/OF,1B25,256.3,,,
257,Ryan Pepiot,TB,SP,SP77,256.4,,,
258,Sal Frelick,MIL,OF,OF51,256.4,,,
259,Brayan Bello,BOS,SP,SP78,256.4,,,
260,Nolan McLean,NYM,SP,SP79,256.4,,,
261,Sean Manaea,NYM,SP,SP80,256.6,,,
262,Heliot Ramos,SF,OF,OF52,256.6,,,
263,Joey Ortiz,MIL,SS,SS20,256.6,,,
264,Ryan O'Hearn,SD,1B/OF,1B26,256.6,,,
265,Drew Rasmussen,TB,SP,SP81,256.6,,,
266,Agustín Ramírez,MIA,C,C19,256.6,,,
267,Tyler Mahle,TEX,SP,SP82,256.6,,,
268,Ernie Clement,TOR,2B/3B/SS,2B23,256.7,,,
269,Jacob Lopez,OAK,SP,SP83,256.8,,,
270,Masyn Winn,STL,SS,SS21,256.9,,,
271,Dylan Crews,WSH,OF,OF53,256.9,,,
272,Gavin Williams,CLE,SP,SP84,257.1,,,
273,Abner Uribe,MIL,RP,RP28,257.1,,,
274,Ryan Pressly,CHC,SP,SP85,257.2,,,
275,Camilo Doval,SF,RP,RP29,257.2,,,
276,Cade Smith,CLE,RP,RP30,257.3,,,
277,Jeff McNeil,NYM,2B/OF,2B24,257.3,,,
278,Charlie Morton,ATL,SP,SP86,257.3,,,
279,Tyler O'Neill,BAL,OF,OF54,257.4,,,
280,Casey Mize,DET,SP,SP87,257.4,,,
281,Rhys Hoskins,MIL,1B,1B27,257.5,,,
282,Clarke Schmidt,NYY,SP,SP88,257.5,,,
283,J.P. Crawford,SEA,SS,SS22,257.5,,,
284,Carson Kelly,CHC,C,C20,257.5,,,
285,Kirby Yates,LAD,RP,RP31,257.6,,,
286,Nick Lodolo,CIN,SP,SP89,257.6,,,
287,Cade Horton,CHC,SP,SP90,257.6,,,
288,Ryan Mountcastle,BAL,1B,1B28,257.7,,,
289,Gavin Lux,CIN,OF,OF55,257.7,,,
290,Freddy Fermin,SD,C,C21,257.7,,,
291,Caleb Durbin,MIL,3B,3B17,257.7,,,
292,Matt Shaw,CHC,3B,3B18,257.7,,,
293,Lucas Erceg,KC,RP,RP32,257.8,,,
294,Nick Martinez,CIN,SP/RP,SP91,257.8,,,
295,Brandon Lowe,TB,2B,2B25,257.8,,,
296,Jose Quintana,MIL,SP,SP92,257.9,,,
297,Mauricio Dubón,HOU,2B/3B/SS/OF,2B26,257.9,,,
298,Ramón Laureano,SD,OF,OF56,257.9,,,
299,Zach McKinstry,DET,3B/SS/OF,3B19,257.9,,,
300,José Caballero,TB,2B/3B/SS/OF,2B27,258.0,,,
301,Wilyer Abreu,BOS,OF,OF57,258.0,,,
302,Iván Herrera,STL,DH,DH4,258.0,,,
303,Javier Báez,DET,3B/SS/OF,3B20,258.0,,,
304,Kyle Manzardo,CLE,1B,1B29,258.0,,,
305,Matt Strahm,PHI,RP,RP33,258.1,,,
306,Spencer Horwitz,PIT,1B,1B30,258.1,,,
307,Hayden Birdsong,SF,SP/RP,SP93,258.1,,,
308,Austin Hays,CIN,OF,OF58,258.1,,,
309,Carlos Santana,CHC,1B,1B31,258.2,,,
310,Nestor Cortes,SD,SP,SP94,258.2,,,
311,Zach Eflin,BAL,SP,SP95,258.2,,,
312,Carlos Narváez,BOS,C,C22,258.2,,,
313,Jake Cronenworth,SD,2B,2B28,258.3,,,
314,Jorge Soler,LAA,OF,OF59,258.3,,,
315,Dylan Moore,SEA,2B/SS/OF,2B29,258.3,,,
316,TJ Friedl,CIN,OF,OF60,258.3,,,
317,Quinn Priester,MIL,SP,SP96,258.3,,,
318,Dustin May,BOS,SP,SP97,258.3,,,
319,Ryan Jeffers,MIN,C,C23,258.4,,,
320,Ke'Bryan Hayes,PIT,3B,3B21,258.4,,,
321,Noelvi Marte,CIN,3B/OF,3B22,258.4,,,
322,Addison Barger,TOR,3B/OF,3B23,258.4,,,
323,Brett Baty,NYM,2B/3B,2B30,258.4,,,
324,Tyler Rogers,SF,RP,RP34,258.5,,,
325,David Peterson,NYM,SP,SP98,258.5,,,
326,Grant Holmes,ATL,SP,SP99,258.5,,,
327,Erick Fedde,STL,SP/RP,SP100,258.6,,,
328,Isiah Kiner-Falefa,PIT,3B/SS,3B24,258.6,,,
329,Will Vest,DET,RP,RP35,258.6,,,
330,Justin Verlander,SF,SP,SP101,258.6,,,
331,Chandler Simpson,TB,OF,OF61,258.6,,,
332,Cole Young,SEA,2B,2B31,258.6,,,
333,Ryan McMahon,NYY,3B,3B25,258.7,,,
334,Jeremiah Estrada,SD,RP,RP36,258.7,,,
335,Porter Hodge,CHC,RP,RP37,258.7,,,
336,Andy Pages,LAD,OF,OF62,258.7,,,
337,Matthew Liberatore,STL,SP,SP102,258.7,,,
338,Gregory Soto,BAL,RP,RP38,258.7,,,
339,Bo Naylor,CLE,C,C24,258.7,,,
340,Thairo Estrada,COL,2B,2B32,258.7,,,
341,Edmundo Sosa,PHI,2B/3B,2B33,258.7,,,
342,Chase Burns,CIN,SP,SP103,258.7,,,
343,Josh Jung,TEX,3B,3B26,258.7,,,
344,Isaac Collins,MIL,OF,OF63,258.7,,,
345,Nick Allen,ATL,SS,SS23,258.7,,,
346,Jonah Heim,TEX,C,C25,258.8,,,
347,Miles Mikolas,STL,SP,SP104,258.8,,,
348,Randy Rodríguez,SF,RP,RP39,258.8,,,
349,Bubba Chandler,PIT,SP,SP105,258.8,,,
350,Eric Lauer,TOR,SP/RP,SP106,258.8,,,
351,Blake Treinen,LAD,RP,RP40,258.9,,,
352,Nolan Gorman,STL,2B/3B,2B34,258.9,,,
353,Trent Grisham,NYY,OF,OF64,258.9,,,
354,Shane Smith,CWS,SP,SP107,258.9,,,
355,Cam Smith,HOU,OF,OF65,258.9,,,
356,Jameson Taillon,CHC,SP,SP108,259.0,,,
357,Tyler Holton,DET,SP/RP,SP109,259.0,,,
358,Harrison Bader,MIN,OF,OF66,259.0,,,
359,Jorge Polanco,SEA,2B,2B35,259.0,,,
360,Emilio Pagán,CIN,RP,RP41,259.0,,,
361,Miguel Andujar,OAK,3B/OF,3B27,259.0,,,
362,Luke Keaschall,MIN,2B,2B36,259.0,,,
363,Dillon Dingler,DET,C,C26,259.0,,,
364,Orlando Arcia,ATL,2B/3B/SS,2B37,259.1,,,
365,Spencer Arrighetti,HOU,SP,SP110,259.1,,,
366,Travis d'Arnaud,LAA,C,C27,259.1,,,
367,Kyle Stowers,MIA,OF,OF67,259.1,,,
368,Jakob Marsee,MIA,OF,OF68,259.1,,,
369,Evan Carter,TEX,OF,OF69,259.1,,,
370,Hyeseong Kim,LAD,2B,2B38,259.1,,,
371,Joel Payamps,ATL,RP,RP42,259.2,,,
372,Brandon Marsh,PHI,OF,OF70,259.2,,,
373,Justin Turner,CHC,1B,1B32,259.2,,,
374,Orion Kerkering,PHI,RP,RP43,259.2,,,
375,Davis Schneider,TOR,2B/OF,2B39,259.2,,,
376,Elias Díaz,SD,C,C28,259.2,,,
377,Luke Jackson,SEA,SP,SP111,259.2,,,
378,Daniel Palencia,CHC,RP,RP44,259.2,,,
379,Lucas Giolito,BOS,SP,SP112,259.2,,,
380,Samuel Basallo,BAL,C,C29,259.2,,,
381,Victor Scott II,STL,OF,OF71,259.2,,,
382,Jordan Walker,STL,OF,OF72,259.2,,,
383,Jacob Young,WSH,OF,OF73,259.3,,,
384,Josh Bell,WSH,1B,1B33,259.3,,,
385,Andrew McCutchen,PIT,RF,RF1,259.3,,,
386,Tobias Myers,MIL,SP/RP,SP113,259.3,,,
387,Luis Severino,OAK,SP,SP114,259.3,,,
388,Mike Yastrzemski,SF,OF,OF74,259.3,,,
389,Mark Leiter Jr.,NYY,RP,RP45,259.3,,,
390,Dylan Lee,ATL,RP,RP46,259.3,,,
391,Nick Gonzales,PIT,2B,2B40,259.3,,,
392,Aaron Ashby,MIL,RP,RP47,259.3,,,
393,Romy Gonzalez,BOS,1B/2B,1B34,259.3,,,
394,Miguel Vargas,CWS,1B/3B,1B35,259.3,,,
395,Matt Brash,SEA,RP,RP48,259.3,,,
396,JoJo Romero,STL,RP,RP49,259.4,,,
397,Alexis Díaz,ATL,RP,RP50,259.4,,,
398,Alex Vesia,LAD,RP,RP51,259.4,,,
399,Jake Irvin,WSH,SP,SP115,259.4,,,
400,JP Sears,OAK,SP,SP116,259.4,,,
401,Pierce Johnson,ATL,RP,RP52,259.4,,,
402,Colin Rea,CHC,SP,SP117,259.4,,,
403,Chris Paddack,MIN,SP,SP118,259.4,,,
404,Lenyn Sosa,CWS,1B/2B,1B36,259.4,,,
405,Joey Wentz,PIT,SP/RP,SP119,259.4,,,
406,Jose Iglesias,SD,2B,2B41,259.4,,,
407,Christian Vázquez,MIN,C,C30,259.4,,,
408,Brad Keller,CHC,RP,RP53,259.4,,,
409,Louis Varland,TOR,RP,RP54,259.4,,,
410,Jose Trevino,CIN,C,C31,259.4,,,
411,Jac Caglianone,KC,OF,OF75,259.4,,,
412,Christian Moore,LAA,2B,2B42,259.4,,,
413,Connor Norby,MIA,3B,3B28,259.4,,,
414,Luis Gil,NYY,SP,SP120,259.5,,,
415,Chad Green,TOR,RP,RP55,259.5,,,
416,Ty France,TOR,1B,1B37,259.5,,,
417,Dean Kremer,BAL,SP,SP121,259.5,,,
418,Andre Pallante,STL,SP,SP122,259.5,,,
419,Masataka Yoshida,BOS,DH,DH5,259.5,,,
420,Jared Triolo,PIT,1B/3B/SS,1B38,259.5,,,
421,David Fry,CLE,DH,DH6,259.5,,,
422,Mitch Garver,SEA,C,C32,259.5,,,
423,Will Benson,CIN,OF,OF76,259.5,,,
424,Santiago Espinal,CIN,3B,3B29,259.5,,,
425,Caleb Thielbar,CHC,RP,RP56,259.5,,,
426,Brent Suter,CIN,RP,RP57,259.5,,,
427,Joey Bart,PIT,C,C33,259.5,,,
428,Jeffrey Springs,OAK,SP,SP123,259.5,,,
429,Kyle Higashioka,TEX,C,C34,259.5,,,
430,Garrett Whitlock,BOS,RP,RP58,259.5,,,
431,Vidal Bruján,ATL,3B,3B30,259.5,,,
432,Garrett Mitchell,MIL,OF,OF77,259.5,,,
433,Will Warren,NYY,SP,SP124,259.5,,,
434,Jack Leiter,TEX,SP,SP125,259.5,,,
435,Kyle Farmer,COL,2B,2B43,259.5,,,
436,Colson Montgomery,CWS,SS,SS24,259.5,,,
437,Tomoyuki Sugano,BAL,SP,SP126,259.5,,,
438,Luisangel Acuña,NYM,2B,2B44,259.5,,,
439,Myles Straw,TOR,OF,OF78,259.5,,,
440,Hunter Gaddis,CLE,RP,RP59,259.6,,,
441,Andrew Kittredge,BAL,RP,RP60,259.6,,,
442,Jesús Sánchez,MIA,OF,OF79,259.6,,,
443,Jesse Winker,NYM,LF,LF1,259.6,,,
444,Nolan Schanuel,LAA,1B,1B39,259.6,,,
445,Zack Gelof,OAK,2B,2B45,259.6,,,
446,Michael Conforto,LAD,LF,LF2,259.6,,,
447,Connor Wong,BOS,C,C35,259.6,,,
448,Luis Ortiz,CLE,SP,SP127,259.6,,,
449,Jo Adell,LAA,OF,OF80,259.6,,,
450,Reese Olson,DET,SP,SP128,259.6,,,
451,Zack Littell,TB,SP,SP129,259.6,,,
452,Tommy Pham,PIT,LF,LF3,259.6,,,
453,Tyler Anderson,LAA,SP,SP130,259.6,,,
454,Dennis Santana,PIT,RP,RP61,259.6,,,
455,Gavin Sheets,SD,OF,OF81,259.6,,,
456,Ryan Fernandez,STL,RP,RP62,259.6,,,
457,Starling Marte,NYM,LF,LF4,259.6,,,
458,Edward Cabrera,MIA,SP,SP131,259.6,,,
459,Gabriel Moreno,ARI,C,C36,259.6,,,
460,Kyle Nicolas,PIT,RP,RP63,259.6,,,
461,Carmen Mlodzinski,PIT,SP/RP,SP132,259.6,,,
462,Brendon Little,TOR,RP,RP64,259.6,,,
463,Jacob Latz,TEX,SP/RP,SP133,259.6,,,
464,Amed Rosario,NYY,2B/3B,2B46,259.6,,,
465,Aaron Bummer,ATL,RP,RP65,259.6,,,
466,Jake Rogers,DET,C,C37,259.6,,,
467,Taijuan Walker,PHI,SP/RP,SP134,259.6,,,
468,Danny Jansen,TB,C,C38,259.6,,,
469,Victor Caratini,HOU,C,C39,259.6,,,
470,Cristian Javier,HOU,SP,SP135,259.6,,,
471,Walker Buehler,PHI,SP,SP136,259.6,,,
472,Eury Pérez,MIA,SP,SP137,259.6,,,
473,Noah Cameron,KC,SP,SP138,259.6,,,
474,Ben Casparius,LAD,RP,RP66,259.6,,,
475,Chase Dollander,COL,SP,SP139,259.6,,,
476,Sean Newcomb,OAK,SP/RP,SP140,259.6,,,
477,Thomas Saggese,STL,2B/SS,2B47,259.6,,,
478,Dalton Rushing,LAD,C,C40,259.6,,,
479,Ronny Mauricio,NYM,3B,3B31,259.6,,,
480,David Robertson,PHI,SP,SP141,259.7,,,
481,Josh Smith,TEX,1B/3B/SS,1B40,259.7,,,
482,Leody Taveras,SEA,OF,OF82,259.7,,,
483,Fernando Cruz,NYY,RP,RP67,259.7,,,
484,Luke Raley,SEA,1B/OF,1B41,259.7,,,
485,Colin Holderman,PIT,RP,RP68,259.7,,,
486,Scott Barlow,CIN,RP,RP69,259.7,,,
487,Sean Hjelle,SF,SP,SP142,259.7,,,
