,Player,Team,Elig. Pos.,Pos. Rank,Status,,,
294,Matt Brash,SEA,SP,SP127,,,,
295,Jeff McNeil,NYM,2B/OF,2B27,,,,
296,J.P. Crawford,SEA,SS,SS23,,,,
297,Ryan Jeffers,MIN,C,C21,,,,
298,Ryne Nelson,ARI,SP,SP128,,,,
299,Casey Mize,DET,SP,SP129,,,,
300,Joey Cantillo,CLE,SP,SP130,,,,
301,Carlos Narváez,BOS,C,C22,,,,
302,Jasson Domínguez,NYY,OF,OF54,,,,
303,José Berríos,TOR,SP,SP131,,,,
304,Logan Henderson,MIL,SP,SP132,,,,
305,Luis Gil,NYY,SP,SP133,,,,
306,Spencer Steer,CIN,1B,1B24,,,,
307,Ryan McMahon,NYY,3B,3B20,,,,
308,Brad Keller,CHC,SP,SP134,,,,
309,Iván Herrera,STL,DH,DH5,,,,
310,David Peterson,NYM,SP,SP135,,,,
311,Corbin Burnes,ARI,SP,SP136,,,,
312,Reid Detmers,LAA,SP,SP137,,,,
313,Connelly Early,BOS,SP,SP138,,,,
314,Mauricio Dubón,HOU,2B,2B28,,,,
315,Miguel Rojas,LAD,2B,2B29,,,,
316,Hyeseong Kim,LAD,2B,2B30,,,,
317,Ezequiel Tovar,COL,SS,SS24,,,,
318,Anthony Volpe,NYY,SS,SS25,,,,
319,Andrew Vaughn,CWS,1B,1B25,,,,
320,Paul Goldschmidt,NYY,1B,1B26,,,,
321,Harrison Bader,MIN,OF,OF55,,,,
322,Bo Naylor,CLE,C,C23,,,,
323,Kyle Manzardo,CLE,1B,1B27,,,,
324,Enrique Hernández,LAD,1B,1B28,,,,
325,Lenyn Sosa,CWS,2B/1B,2B31,,,,
326,Jameson Taillon,CHC,SP,SP139,,,,
327,Mark Vientos,NYM,3B,3B21,,,,
328,Bryan King,HOU,SP,SP140,,,,
329,Logan O'Hoppe,LAA,C,C24,,,,
330,Patrick Bailey,SF,C,C25,,,,
331,Brett Baty,NYM,3B/2B,3B22,,,,
332,Matt Shaw,CHC,3B,3B23,,,,
333,Marcelo Mayer,BOS,3B,3B24,,,,
334,Luisangel Acuña,NYM,2B,2B32,,,,
