player_name,team,eligible_positions
Taijuan Walker,PHI,SP/RP
Tanner Banks,PHI,RP
Trea Turner,PHI,SS
Trevor Richards,PHI,RP
Zack Wheeler,PHI,SP
Billy Cook,PIT,1B/OF
Brandon Lowe,PIT,2B
Braxton Ashcraft,PIT,SP/RP
Bryan Reynolds,PIT,OF/DH
Bubba Chandler,PIT,SP
Carmen Mlodzinski,PIT,SP/RP
Chris Devenski,PIT,RP
Dennis Santana,PIT,RP
Dominic Fletcher,PIT,OF
Endy Rodríguez,PIT,C/1B
Enmanuel Valdez,PIT,1B
Evan Sisk,PIT,RP
Gregory Soto,PIT,RP
Henry Davis,PIT,C
Hunter Barco,PIT,SP
Isaac Mattson,PIT,RP
Jake Mangum,PIT,OF
Jared Triolo,PIT,1B/3B/SS
Jhostynxon Garcia,PIT,OF
Joey Bart,PIT,C
José Urquidy,PIT,SP
Justin Lawrence,PIT,RP
Kyle Nicolas,PIT,RP
Marcell Ozuna,PIT,DH
Mason Montgomery,PIT,RP
Michael Darrell-Hicks,PIT,RP
Mike Clevinger,PIT,RP
Mitch Keller,PIT,SP
Nick Gonzales,PIT,2B
Nick Yorke,PIT,1B/2B
Noah Murdock,PIT,RP
Oneil Cruz,PIT,OF
Paul Skenes,PIT,SP
Ronny Simon,PIT,2B/OF
Ryan O'Hearn,PIT,1B/OF/DH
Spencer Horwitz,PIT,1B
Thomas Harrington,PIT,SP
Yohan Ramírez,PIT,RP
Adrian Morejon,SD,RP
Bradgley Rodriguez,SD,RP
Bryan Hoeing,SD,RP
Bryce Johnson,SD,OF
David Morgan,SD,RP
Fernando Tatis Jr.,SD,OF
Freddy Fermin,SD,C
Gavin Sheets,SD,OF/DH
Germán Márquez,SD,SP
Griffin Canning,SD,SP
JP Sears,SD,SP
Jackson Merrill,SD,OF
Jake Cronenworth,SD,2B
Jason Adam,SD,RP
Jeremiah Estrada,SD,RP
Jose Miranda,SD,3B
Kyle Hart,SD,SP/RP
Logan Gillaspie,SD,SP/RP
Luis Campusano,SD,DH
Manny Machado,SD,3B
Mason McCoy,SD,SS
Mason Miller,SD,RP
Matt Waldron,SD,SP
Michael King,SD,SP
Miguel Andujar,SD,3B/OF/DH
Nick Castellanos,SD,OF
Nick Pivetta,SD,SP
Nick Solak,SD,1B/2B/DH
Omar Cruz,SD,SP/RP
Ramón Laureano,SD,OF
Randy Vásquez,SD,SP
Ron Marinaccio,SD,RP
Samad Taylor,SD,2B/OF
Tirso Ornelas,SD,OF
Triston McKenzie,SD,SP/RP
Ty Adcock,SD,RP
Ty France,SD,1B
Walker Buehler,SD,SP
Wandy Peralta,SD,RP
Will Wagner,SD,3B
Xander Bogaerts,SD,SS
Yu Darvish,SD,SP
Yuki Matsui,SD,RP
Andrew Knizner,SEA,C
Andrés Muñoz,SEA,RP
Brendan Donovan,SEA,2B
Bryan Woo,SEA,SP
Bryce Miller,SEA,SP
Cal Raleigh,SEA,C/DH
Carlos Vargas,SEA,RP
Casey Legumina,SEA,RP
Cole Wilcox,SEA,RP
Cole Young,SEA,2B
Connor Joe,SEA,OF
Cooper Criswell,SEA,SP/RP
Dane Dunning,SEA,RP
Dominic Canzone,SEA,OF
Eduard Bazardo,SEA,RP
Emerson Hancock,SEA,SP
Gabe Speier,SEA,RP
George Kirby,SEA,SP
J.P. Crawford,SEA,SS
Jhonathan Díaz,SEA,SP
Jhonny Pereda,SEA,C
Josh Naylor,SEA,1B/DH
Josh Simpson,SEA,RP
Julio Rodríguez,SEA,OF
Leo Rivas,SEA,2B
Logan Evans,SEA,SP
Logan Gilbert,SEA,SP
Luis Castillo,SEA,SP
Luke Raley,SEA,1B/OF
Matt Brash,SEA,RP
Miles Mastrobuoni,SEA,3B
Randy Arozarena,SEA,OF
Randy Dobnak,SEA,SP/RP
Rhylan Thomas,SEA,OF
Rob Refsnyder,SEA,OF/DH
Ryan Bliss,SEA,2B
Troy Taylor,SEA,RP
Victor Robles,SEA,OF
Will Wilson,SEA,2B/3B
Yosver Zulueta,SEA,RP
Adrian Houser,SF,SP
Blade Tidwell,SF,SP
Bryce Eldridge,SF,DH
Carson Seymour,SF,RP
Carson Whisenhunt,SF,SP
Casey Schmitt,SF,2B/3B
Christian Koss,SF,2B
Drew Gilbert,SF,OF
Eric Haase,SF,C
Erik Miller,SF,RP
Grant McCray,SF,OF
Gregory Santos,SF,RP
Harrison Bader,SF,OF
Hayden Birdsong,SF,SP/RP
Heliot Ramos,SF,OF
JT Brubaker,SF,RP
Jerar Encarnacion,SF,OF
Joel Peguero,SF,RP
José Buttó,SF,RP
Jung Hoo Lee,SF,OF
Keaton Winn,SF,RP
Landen Roupp,SF,SP
Logan Porter,SF,C
Logan Webb,SF,SP
Luis Arraez,SF,1B/DH
Luis Matos,SF,OF
Matt Chapman,SF,3B
Matt Gage,SF,RP
Michael Fulmer,SF,RP
Patrick Bailey,SF,C
Rafael Devers,SF,1B/DH
Randy Rodríguez,SF,RP
Reiver Sanmartin,SF,RP
Robbie Ray,SF,SP
Ryan Walker,SF,RP
Spencer Bivens,SF,RP
Trevor McDonald,SF,SP
Tristan Beck,SF,RP
Tyler Fitzgerald,SF,2B
Tyler Mahle,SF,SP
Will Brennan,SF,OF
Willy Adames,SF,SS
Alec Burleson,STL,1B/OF/DH
Andre Pallante,STL,SP
Chris Roycroft,STL,RP
César Prieto,STL,2B/3B/SS
Dustin May,STL,SP
George Soriano,STL,RP
Gordon Graceffo,STL,RP
Hunter Dobbins,STL,SP
Iván Herrera,STL,DH
Jared Shuster,STL,RP
Jimmy Crooks,STL,C
JoJo Romero,STL,RP
Jordan Walker,STL,OF
José Fermin,STL,2B
Justin Bruihl,STL,RP
Kyle Leahy,STL,RP
Lars Nootbaar,STL,OF
Masyn Winn,STL,SS
Matt Svanson,STL,RP
Matthew Liberatore,STL,SP
Michael McGreevy,STL,SP
Nathan Church,STL,OF
Nolan Gorman,STL,2B/3B/DH
Pedro Pagés,STL,C
Ramón Urías,STL,2B/3B
Richard Fitts,STL,SP
Riley O'Brien,STL,RP
Ryan Fernandez,STL,RP
Ryne Stanek,STL,RP
Scott Blewett,STL,RP
Thomas Saggese,STL,2B/SS
Victor Scott II,STL,OF
Yohel Pozo,STL,C
Zak Kent,STL,RP
Ben Williamson,TB,3B
Blake Sabol,TB,C
Brian Van Belle,TB,SP/RP
Bryan Baker,TB,RP
Cam Booser,TB,RP
Carson Williams,TB,SS
Cedric Mullins,TB,OF
Chandler Simpson,TB,OF
Cole Sulser,TB,RP
Drew Rasmussen,TB,SP
Edwin Uceta,TB,RP
Forrest Whitley,TB,RP
Garrett Cleavinger,TB,RP
Gavin Lux,TB,OF/DH
Griffin Jax,TB,RP
Hunter Bigge,TB,RP
Hunter Feduccia,TB,C
Ian Seymour,TB,SP/RP
Jacob Melton,TB,OF
Jake Fraley,TB,OF
Jake Woodford,TB,RP
Joe Boyle,TB,SP
Joe Rock,TB,SP/RP
Jonathan Aranda,TB,1B
Jonny DeLuca,TB,OF
Junior Caminero,TB,3B
Justyn-Henry Malloy,TB,OF/DH
Kevin Kelly,TB,RP
Logan Davidson,TB,1B
Manuel Rodríguez,TB,RP
Mason Englert,TB,RP
Nick Fortes,TB,C
Nick Martinez,TB,SP/RP
Richie Palacios,TB,2B/OF
Ryan Pepiot,TB,SP
Steven Matz,TB,RP
Steven Wilson,TB,RP
Taylor Walls,TB,SS
Victor Mesa Jr.,TB,OF
Yandy Díaz,TB,1B/DH
Yoendrys Gómez,TB,SP/RP
Alejandro Osuna,TEX,OF
Alexis Díaz,TEX,RP
Austin Gomber,TEX,SP
Brandon Nimmo,TEX,OF
Cal Quantrill,TEX,SP
Chris Martin,TEX,RP
Cody Freeman,TEX,2B/OF
Cole Winn,TEX,RP
Corey Seager,TEX,SS
Danny Jansen,TEX,C
Evan Carter,TEX,OF
Ezequiel Duran,TEX,1B/SS
Jack Leiter,TEX,SP
Jacob Latz,TEX,SP/RP
Jacob deGrom,TEX,SP
Jake Burger,TEX,1B
Jakob Junis,TEX,RP
Joc Pederson,TEX,DH
Jonah Bride,TEX,3B
Jose Corniell,TEX,SP
Jose Herrera,TEX,C
Josh Jung,TEX,3B
Josh Smith,TEX,1B/3B/SS
Justin Foscue,TEX,1B/2B
Kumar Rocker,TEX,SP
Kyle Higashioka,TEX,C/DH
Luis Curvelo,TEX,RP
MacKenzie Gore,TEX,SP
Marc Church,TEX,RP
Mark Canha,TEX,OF
Michael Helman,TEX,OF
Michel Otañez,TEX,RP
Nabil Crismatt,TEX,SP
Nathan Eovaldi,TEX,SP
Robert Garcia,TEX,RP
Ryan Brasier,TEX,RP
Sam Haggerty,TEX,OF
Tyler Alexander,TEX,SP/RP
Tyler Wade,TEX,OF
Willie MacIver,TEX,C
Wyatt Langford,TEX,OF
Addison Barger,TOR,3B/OF
Alejandro Kirk,TOR,C
Andrés Giménez,TOR,2B
Anthony Santander,TOR,OF/DH
Bowden Francis,TOR,SP
Braydon Fisher,TOR,RP
Brendon Little,TOR,RP
Chad Green,TOR,RP
Chase Lee,TOR,RP
Daulton Varsho,TOR,OF
Davis Schneider,TOR,2B/OF
Dylan Cease,TOR,SP
Eric Lauer,TOR,SP/RP
Ernie Clement,TOR,2B/3B/SS
George Springer,TOR,OF/DH
Jeff Hoffman,TOR,RP
Jesse Hahn,TOR,RP
Jesús Sánchez,TOR,OF
Jonatan Clase,TOR,OF
Jorge Alcala,TOR,RP
José Berríos,TOR,SP
Kevin Gausman,TOR,SP
Lazaro Estrada,TOR,SP/RP
Leo Jiménez,TOR,2B
Louis Varland,TOR,RP
Mason Fluharty,TOR,RP
Myles Straw,TOR,OF
Nathan Lukes,TOR,OF
Shane Bieber,TOR,SP
Tommy Nance,TOR,RP
Trey Yesavage,TOR,SP
Tyler Heineman,TOR,C
Tyler Rogers,TOR,RP
Vladimir Guerrero Jr.,TOR,1B/DH
Yariel Rodríguez,TOR,RP
Yimi García,TOR,RP
Andre Granillo,WSH,RP
Andrew Alvarez,WSH,SP
Andry Lara,WSH,RP
Andrés Chaparro,WSH,1B
Brad Lord,WSH,SP/RP
Brady House,WSH,3B
CJ Abrams,WSH,SS
Cade Cavalli,WSH,SP
Clayton Beeter,WSH,RP
Cole Henry,WSH,RP
Daylen Lile,WSH,OF
Drew Millas,WSH,C
Dylan Crews,WSH,OF
Harry Ford,WSH,C
Jackson Rutledge,WSH,RP
Jacob Young,WSH,OF
Jake Irvin,WSH,SP
James Wood,WSH,OF/DH
Joey Wiemer,WSH,OF
José Tena,WSH,3B
Julian Fernández,WSH,RP
Keibert Ruiz,WSH,C
Luis García Jr.,WSH,2B
Matt Mervis,WSH,1B/DH
Miles Mikolas,WSH,SP
Mitchell Parker,WSH,SP
Nasim Nuñez,WSH,2B/SS
Orlando Ribalta,WSH,RP
Paxton Schultz,WSH,RP
Richard Lovelady,WSH,RP
Riley Adams,WSH,C
Robert Hassell III,WSH,OF
Sergio Alcántara,WSH,SS
Shinnosuke Ogasawara,WSH,RP
Trevor Williams,WSH,SP
Trey Lipscomb,WSH,2B/3B/OF
Warming Bernabel,WSH,1B
