Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Zak Kent","TEX",0.6784,0.6936,0,4.18031,14,0,0,0.6589,,14,60.843,13.3771,7.0281,6.5027,1.71111,6.0822,0.3598,0.5971,13.2642,8.52699,3.90999,2.18082,1.1,0.218007,0.0999655,0.1180415228009224,0.246975,1.38995,0.29769,0.728515,0.436989,,4.26042,0.0556344,0.0143832,999,,,,,,,54.20000000000003,3.8714285714285737,53,3.7857142857142856,7.17,5.93,5.16,4.59,4.11,3.68,3.27,2.85,2.36,5.34,5.03,4.81,4.63,4.48,4.32,4.16,3.99,3.75,"Zak Kent","25703",687849
"Tyler Gilbert","CHW",1.2152,1.3327,0,4.19255,26,0,0,0.5889,,26,111.732,25.4808,12.9976,12.1118,3.72667,9.3253,0.9552,1.0533,22.9837,7.9559,3.22799,2.46466,1.29,0.205704,0.0834613,0.1222425028681755,0.251405,1.3387,0.291442,0.737053,0.386215,,4.42802,0.0552893,0.0548826,999,,,,,,,98.19999999999999,3.7769230769230764,98,3.769230769230769,7.44,6.01,5.16,4.52,4,3.54,3.11,2.66,2.15,5.24,4.96,4.77,4.61,4.46,4.32,4.18,4.02,3.8,"Tyler Gilbert","17964",656457
"Carson Seymour","SFG",0.9974,0.9626,0,3.73766,20,0,0,0.6723,,20,85.251,19.5671,9.118,8.30591,1.95556,6.5643,0.4909,0.9754,17.5889,7.915,2.95394,2.67948,0.88,0.206319,0.0769997,0.12931930273771286,0.251792,1.30657,0.302776,0.727267,0.512023,,3.77831,0.0550551,0.110573,999,,,,,,,87.4,4.37,90,4.5,7.21,5.63,4.7,4.04,3.5,3.03,2.6,2.18,1.7,4.75,4.51,4.34,4.2,4.07,3.95,3.82,3.68,3.49,"Carson Seymour","30084",693313
"Yerry De los Santos","NYY",1.6981,1.6339,0,4.02963,34,0,0,0.6919,,34,147.25,33.9698,16.6377,15.2231,3.86844,13.1584,0.9708,1.235,27.6434,7.31737,3.48311,2.10082,1.024,0.187731,0.0893609,0.09837012737989426,0.255688,1.38612,0.297019,0.73097,0.496778,,4.25817,0.0548051,0.00660069,999,,,,,,,132.00000000000003,3.8823529411764715,136,4,7.02,5.79,5.03,4.47,4,3.58,3.18,2.77,2.28,5.17,4.88,4.68,4.51,4.37,4.22,4.08,3.91,3.69,"Yerry De los Santos","21420",660787
"Yuki Matsui","SDP",2.6147,2.5792,0,4.05618,53,0,0,9.7255,,53,227.761,47.9542,25.6013,23.8864,7.32578,23.4318,1.5656,1.5911,54.3887,9.23582,3.97899,2.32115,1.244,0.238797,0.102879,0.13591834902763367,0.236533,1.34691,0.288097,0.748974,0.362669,,4.29601,0.0516488,0.108022,999,,,,,,,254.3,4.79811320754717,247,4.660377358490566,6.5,5.53,4.93,4.46,4.07,3.71,3.36,2.99,2.54,5.09,4.81,4.61,4.45,4.31,4.17,4.03,3.87,3.66,"Yuki Matsui","33826",673513
"Yosver Zulueta","SEA",1.235,1.1169,0,3.59099,24,0,0,0.6497,,24,103.27,21.5044,10.5563,9.57597,2.18133,10.8806,0.6056,1.2832,23.6415,8.86556,4.08022,2.17281,0.818,0.228929,0.105361,0.12356831878423691,0.236037,1.34938,0.295988,0.744216,0.513309,,3.86704,0.0515648,0.0439235,999,,,,,,,111.80000000000003,4.658333333333334,110,4.583333333333333,6.81,5.38,4.54,3.93,3.43,3,2.59,2.19,1.73,4.67,4.4,4.21,4.06,3.92,3.79,3.65,3.49,3.29,"Yosver Zulueta","27765",691172
"Pedro Avila","CLE",1.8465,2.2104,0.6131,4.40867,31.62,1.62,0,0.6803,,39.1507,170.971,39.8702,20.7076,19.1781,5.03739,15.4559,0.7386,1.8156,33.3047,7.65612,3.55302,2.15482,1.158,0.194797,0.0904007,0.10439664870500565,0.259404,1.41316,0.301956,0.717129,0.451075,,4.42991,0.0514532,-0.0338413,999,,,,,,,142.10000000000002,3.643589743589744,149,3.8205128205128207,8.01004,6.38554,5.43829,4.73479,4.16701,3.66793,3.20819,2.73781,2.20444,5.50062,5.21595,5.03127,4.87127,4.72894,4.5866,4.44426,4.28192,4.06725,"Pedro Avila","18864",658648
"Tyler Ferguson","ATH",2.0607,2.0552,0,4.24574,42,0,0,0.6332,,42,183.007,38.9739,21.307,19.8134,5.38533,19.7486,1.1787,2.1106,41.3033,8.85071,4.23184,2.09145,1.154,0.225692,0.107912,0.11778073757886887,0.241852,1.39815,0.293455,0.731014,0.402207,,4.39657,0.0509944,0.144772,999,,,,,,,167.9,3.9976190476190476,165,3.9285714285714284,6.99,5.88,5.19,4.67,4.23,3.83,3.44,3.04,2.56,5.31,5.03,4.84,4.68,4.53,4.39,4.25,4.08,3.87,"Tyler Ferguson","19481",621053
"Sean Sullivan","COL",0.4365,0.686,0.5657,5.25129,1.62,1.62,0,0,,9.234,40.482,10.4647,5.7218,5.38782,1.70008,2.7239,0.0371,0.4046,6.7981,6.62583,2.65487,2.49572,1.657,0.167929,0.0672867,0.10064226388931274,0.280153,1.42827,0.303744,0.690828,0.381009,,5.07258,0.0508392,0.0406556,999,,,,,,,21.000000000000007,2.333333333333334,24,2.6666666666666665,10.44,7.81,6.34,5.31,4.49,3.8,3.18,2.58,1.93,6.43,6.11,5.89,5.71,5.54,5.38,5.21,5.02,4.77,"Sean Sullivan","sa3023162",807743
"Franco Aleman","CLE",1.057,1.0989,0,4.01152,22,0,0,0.6803,,22,94.746,20.0161,10.5939,9.80594,2.67667,9.5671,0.5749,1.0613,22.4506,9.18434,3.91381,2.34665,1.095,0.236956,0.100976,0.13597935438156128,0.237954,1.34469,0.293937,0.734998,0.423371,,4.12517,0.0507236,0.0138165,999,,,,,,,88.9,4.040909090909091,86,3.909090909090909,7.44,5.89,4.97,4.3,3.76,3.29,2.85,2.4,1.9,5.16,4.84,4.62,4.45,4.29,4.14,3.98,3.8,3.57,"Franco Aleman","sa3018178",680916
