Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Randy Dobnak","SEA",0.389517,0.430984,0,4.73619,9.599,0.179,0,0.6497,,12.3517,54.5695,12.4062,6.96,6.5,1.41032,5.78845,0.348562,0.58718,9.67586,7.05026,4.21772,1.67158,1.02762,0.177312,0.106075,0.07123774290084839,0.257424,1.47305,0.296324,0.692634,,,4.60128,-0.0150536,-0.0739255,999,,,,,,,48.30000000000001,4.025000000000001,50,4.166666666666667,,,,,,,,,,,,,,,,,,,"Randy Dobnak","23798",677976
"Chris Devenski","PIT",0.662418,0.608898,0,5.16369,15.684,0.092,0,0.6612,,17.2551,75.2663,17.449,10.57,9.9,2.60669,6.00382,0.31755,1.07924,12.831,6.69246,3.1315,2.13714,1.35961,0.170475,0.0797677,0.09070733934640884,0.255913,1.35918,0.281395,0.650534,,,4.84328,-0.0166458,-0.213664,999,,,,,,,53.7,3.158823529411765,55,3.235294117647059,,,,,,,,,,,,,,,,,,,"Chris Devenski","12763",606965
"Michael Kopech",,2.06547,2.50731,0,4.60296,36.981,0.283,0,0,,39.0857,172.279,31.9944,21.37,19.99,5.20343,23.6033,0.998502,2.22744,42.0996,9.694,5.43498,1.78363,1.19816,0.24437,0.137007,0.10736286640167236,0.21847,1.42246,0.270221,0.708459,,,4.69421,-0.0168525,-0.0632054,733.1400146484375,,,,,,,149.90000000000003,3.8435897435897446,136,3.4871794871794872,,,,,,,,,,,,,,,,,,,"Michael Kopech","17282",656629
"Alek Jacob","SDP",0.966655,0.957714,0,4.79893,24.061,0,0,0.6673,,27.0248,117.224,25.0822,15.43,14.41,4.61429,9.91432,0.92546,2.63316,24.6001,8.1925,3.30174,2.48126,1.53668,0.209855,0.084576,0.12527941167354584,0.239617,1.29498,0.271234,0.685666,,,4.92712,-0.017218,-0.0905916,999,,,,,,,88.30000000000001,3.2703703703703706,85,3.1481481481481484,,,,,,,,,,,,,,,,,,,"Alek Jacob","29628",689690
"Joey Estes","ATH",0.921121,1.17764,0,5.08627,20.35,0.995,0,0.6332,,28.0107,121.016,28.2545,16.96,15.83,5.6234,8.19616,0.920771,1.57964,23.121,7.42891,2.63347,2.82095,1.80683,0.191057,0.0677277,0.12332914024591446,0.253994,1.30131,0.274329,0.682018,,,5.14114,-0.0184168,-0.18073,999,,,,,,,80.60000000000004,2.87857142857143,82,2.9285714285714284,,,,,,,,,,,,,,,,,,,"Joey Estes","26257",683155
"T.J. McFarland",,1.39262,1.70167,0,4.7197,26.198,0,0,0,,24.9041,109.199,26.6943,14.04,13.06,2.74009,9.07654,0.799305,1.24868,16.3515,5.90922,3.28014,1.80152,0.990231,0.149741,0.0831196,0.06662170588970184,0.269985,1.43634,0.300247,0.680477,,,4.49611,-0.0187872,-0.0952476,999,,,,,,,79.89999999999999,3.1959999999999997,88,3.52,,,,,,,,,,,,,,,,,,,"T.J. McFarland","3237",519008
"Luis Guerrero","TBR",0.811652,0.662644,0,4.64857,18.562,0,0,0.6612,,20.5999,90.6596,18.4475,11.36,10.64,2.68309,10.8482,0.824974,1.01544,18.5539,8.10612,4.73955,1.71031,1.17223,0.204655,0.119659,0.08499563485383987,0.234118,1.42213,0.273884,0.702277,,,4.75473,-0.0194308,-0.00269816,999,,,,,,,77.7,3.7,72,3.4285714285714284,,,,,,,,,,,,,,,,,,,"Luis Guerrero","31184",692285
"Brandon Waddell","NYM",0.347417,0.375288,0,4.87395,6.824,0.41,0,0,,18.5763,82.0134,18.2838,10.73,10.06,2.40643,8.34382,0.585446,0.985514,14.722,7.13261,4.04248,1.76441,1.16589,0.179507,0.101737,0.07776935398578644,0.251552,1.43342,0.285792,0.683515,,,4.74082,-0.0217938,-0.107332,999,,,,,,,72.2,3.8000000000000003,72,3.789473684210526,,,,,,,,,,,,,,,,,,,"Brandon Waddell","18347",663399
"Bryce Jarvis","ARI",0.126749,0.143413,0,5.38169,3.521,0.045,0,0,,5.8699,26.4278,6.1768,3.74,3.51,0.821199,2.85618,0.204645,0.251599,4.73976,7.26721,4.37923,1.65947,1.2591,0.179347,0.108075,0.07127253711223602,0.264871,1.53886,0.30157,0.671417,,,4.92723,-0.0234111,-0.0866064,999,,,,,,,17.500000000000007,2.916666666666668,18,3,,,,,,,,,,,,,,,,,,,"Bryce Jarvis","27477",686826
"Nick Sandlin","LAA",1.17988,1.04669,0,4.48125,29.75,0,0,0.6278,,29.5431,127.534,24.4262,15.68,14.71,4.41142,14.1048,0.883145,2.53757,28.3804,8.64579,4.29688,2.01211,1.34389,0.222532,0.110596,0.1119355633854866,0.220271,1.30423,0.256272,0.706259,,,4.84501,-0.0241332,-0.0329785,999,,,,,,,119.4,3.98,107,3.566666666666667,,,,,,,,,,,,,,,,,,,"Nick Sandlin","20517",680704
